"Time [ms]","CPU usage [%]","GC activity [%]","Size [B]","Used [B]","Total loaded","Shared loaded","Live","Daemon"
"04:31:02.464, 21 kwi 2023","5,1","0,0","524 288 000","306 121 456","10 110","0","34","24"
"04:31:12.464, 21 kwi 2023","5,0","0,0","524 288 000","283 185 944","10 110","0","34","24"
"04:31:22.465, 21 kwi 2023","5,0","0,0","524 288 000","446 740 952","10 110","0","34","24"
"04:31:32.466, 21 kwi 2023","4,9","0,0","524 288 000","419 462 992","10 110","0","34","24"
"04:31:42.467, 21 kwi 2023","5,0","0,0","524 288 000","400 523 496","10 110","0","34","24"
"04:31:52.467, 21 kwi 2023","5,0","0,0","524 288 000","379 829 992","10 110","0","34","24"
"04:32:02.468, 21 kwi 2023","5,0","0,0","524 288 000","358 704 392","10 110","0","34","24"
"04:32:12.469, 21 kwi 2023","5,0","0,0","524 288 000","348 319 976","10 110","0","34","24"
"04:32:22.470, 21 kwi 2023","4,9","0,0","524 288 000","325 106 344","10 110","0","34","24"
"04:32:32.471, 21 kwi 2023","4,9","0,0","524 288 000","299 944 992","10 110","0","34","24"
"04:32:42.471, 21 kwi 2023","5,0","0,0","524 288 000","461 574 712","10 110","0","34","24"
"04:32:52.472, 21 kwi 2023","4,9","0,0","524 288 000","423 807 032","10 110","0","34","24"
"04:33:02.472, 21 kwi 2023","5,1","0,0","524 288 000","411 560 328","10 110","0","35","25"
"04:33:12.472, 21 kwi 2023","5,1","0,0","524 288 000","403 396 376","10 110","0","35","25"
"04:33:22.473, 21 kwi 2023","5,0","0,0","524 288 000","384 613 656","10 110","0","35","25"
"04:33:32.473, 21 kwi 2023","4,9","0,0","524 288 000","361 463 088","10 110","0","35","25"
"04:33:42.474, 21 kwi 2023","5,0","0,0","524 288 000","342 795 112","10 110","0","35","25"
"04:33:52.475, 21 kwi 2023","4,9","0,0","524 288 000","321 675 952","10 110","0","35","25"
"04:34:02.476, 21 kwi 2023","5,2","0,0","524 288 000","321 511 528","10 110","0","42","32"
"04:34:12.477, 21 kwi 2023","4,9","0,0","524 288 000","303 372 520","10 110","0","42","32"
"04:34:22.477, 21 kwi 2023","4,9","0,0","524 288 000","292 945 624","10 110","0","42","32"
"04:34:32.477, 21 kwi 2023","5,0","0,0","524 288 000","456 629 240","10 110","0","34","24"
"04:34:42.479, 21 kwi 2023","4,9","0,0","524 288 000","441 636 184","10 110","0","34","24"
"04:34:52.480, 21 kwi 2023","5,0","0,0","524 288 000","433 323 072","10 110","0","35","25"
"04:35:02.482, 21 kwi 2023","4,9","0,0","524 288 000","421 012 600","10 110","0","35","25"
"04:35:12.482, 21 kwi 2023","5,0","0,0","524 288 000","417 265 320","10 110","0","37","27"
"04:35:22.484, 21 kwi 2023","5,0","0,0","524 288 000","409 052 216","10 110","0","37","27"
"04:35:32.484, 21 kwi 2023","5,0","0,0","524 288 000","415 451 392","10 110","0","37","27"
"04:35:42.485, 21 kwi 2023","4,9","0,0","524 288 000","406 967 448","10 110","0","34","24"
"04:35:52.486, 21 kwi 2023","5,0","0,0","524 288 000","402 874 456","10 110","0","34","24"
"04:36:02.486, 21 kwi 2023","5,0","0,0","524 288 000","398 613 312","10 110","0","34","24"
"04:36:12.488, 21 kwi 2023","5,0","0,0","524 288 000","392 477 528","10 110","0","34","24"
"04:36:22.488, 21 kwi 2023","4,9","0,0","524 288 000","384 129 496","10 110","0","34","24"
"04:36:32.488, 21 kwi 2023","5,0","0,0","524 288 000","375 703 080","10 110","0","34","24"
"04:36:42.488, 21 kwi 2023","5,0","0,0","524 288 000","363 107 496","10 110","0","34","24"
"04:36:52.490, 21 kwi 2023","5,1","0,0","524 288 000","353 345 280","10 110","0","46","36"
"04:37:02.491, 21 kwi 2023","5,0","0,0","524 288 000","360 492 152","10 110","0","46","36"
"04:37:12.492, 21 kwi 2023","5,0","0,0","524 288 000","369 353 720","10 110","0","46","36"
"04:37:22.492, 21 kwi 2023","5,0","0,0","524 288 000","369 974 960","10 110","0","35","25"
"04:37:32.493, 21 kwi 2023","5,0","0,0","524 288 000","379 430 464","10 110","0","35","25"
"04:37:42.493, 21 kwi 2023","4,9","0,0","524 288 000","388 275 376","10 110","0","35","25"
"04:37:52.493, 21 kwi 2023","5,0","0,0","524 288 000","396 855 256","10 110","0","33","23"
"04:38:02.494, 21 kwi 2023","5,0","0,0","524 288 000","403 229 192","10 110","0","34","24"
"04:38:12.494, 21 kwi 2023","5,0","0,0","524 288 000","418 162 704","10 110","0","34","24"
"04:38:22.495, 21 kwi 2023","5,0","0,0","524 288 000","422 400 824","10 110","0","34","24"
"04:38:32.496, 21 kwi 2023","5,0","0,0","524 288 000","420 303 112","10 110","0","33","23"
"04:38:42.496, 21 kwi 2023","5,0","0,0","524 288 000","424 794 512","10 110","0","34","24"
"04:38:52.497, 21 kwi 2023","5,0","0,0","524 288 000","437 652 984","10 110","0","34","24"
"04:39:02.497, 21 kwi 2023","5,0","0,0","524 288 000","439 940 592","10 110","0","34","24"
"04:39:12.498, 21 kwi 2023","5,1","0,0","524 288 000","450 490 920","10 110","0","34","24"
"04:39:22.500, 21 kwi 2023","5,0","0,0","524 288 000","452 540 320","10 110","0","38","28"
"04:39:32.502, 21 kwi 2023","5,0","0,0","524 288 000","456 059 288","10 110","0","38","28"
"04:39:42.502, 21 kwi 2023","5,0","0,0","524 288 000","297 551 624","10 110","0","38","28"
"04:39:52.502, 21 kwi 2023","5,0","0,0","524 288 000","310 468 344","10 110","0","34","24"
"04:40:02.503, 21 kwi 2023","5,0","0,0","524 288 000","318 521 328","10 110","0","33","23"
"04:40:12.504, 21 kwi 2023","5,0","0,0","524 288 000","331 367 960","10 110","0","33","23"
"04:40:22.504, 21 kwi 2023","5,0","0,0","524 288 000","337 518 968","10 110","0","33","23"
"04:40:32.506, 21 kwi 2023","5,0","0,0","524 288 000","348 700 168","10 110","0","35","25"
"04:40:42.507, 21 kwi 2023","4,9","0,0","524 288 000","344 860 728","10 110","0","35","25"
"04:40:52.508, 21 kwi 2023","5,0","0,0","524 288 000","357 478 640","10 110","0","35","25"
"04:41:02.508, 21 kwi 2023","5,0","0,0","524 288 000","349 541 272","10 110","0","36","26"
"04:41:12.509, 21 kwi 2023","4,9","0,0","524 288 000","360 062 008","10 110","0","36","26"
"04:41:22.511, 21 kwi 2023","4,9","0,0","524 288 000","370 788 792","10 110","0","36","26"
"04:41:32.511, 21 kwi 2023","5,0","0,0","524 288 000","389 838 456","10 110","0","34","24"
"04:41:42.512, 21 kwi 2023","4,9","0,0","524 288 000","400 669 320","10 110","0","34","24"
"04:41:52.512, 21 kwi 2023","4,9","0,0","524 288 000","413 076 288","10 110","0","34","24"
"04:42:02.513, 21 kwi 2023","5,0","0,0","524 288 000","417 275 480","10 110","0","33","23"
"04:42:12.513, 21 kwi 2023","4,9","0,0","524 288 000","424 509 096","10 110","0","37","27"
"04:42:22.514, 21 kwi 2023","5,0","0,0","524 288 000","437 157 760","10 110","0","37","27"
"04:42:32.514, 21 kwi 2023","5,0","0,0","524 288 000","454 271 984","10 110","0","37","27"
"04:42:42.514, 21 kwi 2023","5,0","0,0","524 288 000","309 266 200","10 110","0","34","24"
"04:42:52.516, 21 kwi 2023","5,1","0,0","524 288 000","334 200 392","10 110","0","34","24"
"04:43:02.516, 21 kwi 2023","4,9","0,0","524 288 000","344 843 256","10 110","0","34","24"
"04:43:12.517, 21 kwi 2023","4,9","0,0","524 288 000","355 330 736","10 110","0","34","24"
"04:43:22.518, 21 kwi 2023","5,0","0,0","524 288 000","376 704 920","10 110","0","35","25"
"04:43:32.518, 21 kwi 2023","5,0","0,0","524 288 000","395 760 192","10 110","0","35","25"
"04:43:42.519, 21 kwi 2023","5,0","0,0","524 288 000","416 922 040","10 110","0","35","25"
"04:43:52.519, 21 kwi 2023","5,0","0,0","524 288 000","427 255 640","10 110","0","34","24"
"04:44:02.520, 21 kwi 2023","4,9","0,0","524 288 000","429 411 936","10 110","0","34","24"
"04:44:12.521, 21 kwi 2023","5,0","0,0","524 288 000","450 522 936","10 110","0","34","24"
"04:44:22.522, 21 kwi 2023","5,0","0,0","524 288 000","303 511 576","10 110","0","34","24"
"04:44:32.522, 21 kwi 2023","4,9","0,0","524 288 000","316 182 744","10 110","0","34","24"
"04:44:42.522, 21 kwi 2023","5,0","0,0","524 288 000","335 278 040","10 110","0","34","24"
"04:44:52.524, 21 kwi 2023","4,9","0,0","524 288 000","339 323 896","10 110","0","34","24"
"04:45:02.525, 21 kwi 2023","4,9","0,0","524 288 000","345 496 872","10 110","0","34","24"
"04:45:12.525, 21 kwi 2023","4,9","0,0","524 288 000","354 127 176","10 110","0","34","24"
"04:45:22.526, 21 kwi 2023","5,0","0,0","524 288 000","373 358 040","10 110","0","34","24"
"04:45:32.527, 21 kwi 2023","5,0","0,0","524 288 000","388 125 080","10 110","0","34","24"
"04:45:42.528, 21 kwi 2023","5,0","0,0","524 288 000","411 370 160","10 110","0","34","24"
"04:45:52.529, 21 kwi 2023","4,9","0,0","524 288 000","417 568 152","10 110","0","34","24"
"04:46:02.530, 21 kwi 2023","5,0","0,0","524 288 000","432 257 288","10 110","0","34","24"
"04:46:12.530, 21 kwi 2023","5,0","0,0","524 288 000","442 907 128","10 110","0","35","25"
