time,cpu,gc,size,used,classes,classes_shared,live,daemon
"10:16:23.493, 16 maj 2023","9,8","0,0","367 001 600","280 508 656","9 756","0","127","117"
"10:16:24.495, 16 maj 2023","9,7","0,0","367 001 600","311 965 936","9 756","0","127","117"
"10:16:25.496, 16 maj 2023","9,7","0,0","367 001 600","295 219 624","9 756","0","127","117"
"10:16:26.496, 16 maj 2023","10,2","0,0","367 001 600","278 406 512","9 756","0","127","117"
"10:16:27.496, 16 maj 2023","10,1","0,0","367 001 600","309 863 792","9 756","0","127","117"
"10:16:28.498, 16 maj 2023","9,8","0,0","367 001 600","293 084 128","9 756","0","127","117"
"10:16:29.499, 16 maj 2023","9,8","0,0","367 001 600","274 276 328","9 756","0","127","117"
"10:16:30.500, 16 maj 2023","9,8","0,0","367 001 600","307 830 760","9 756","0","127","117"
"10:16:31.500, 16 maj 2023","10,6","0,0","367 001 600","288 974 448","9 756","0","127","117"
"10:16:32.501, 16 maj 2023","10,3","0,0","367 001 600","272 221 680","9 756","0","127","117"
"10:16:33.501, 16 maj 2023","9,7","0,0","367 001 600","303 678 960","9 756","0","127","117"
"10:16:34.502, 16 maj 2023","9,9","0,0","367 001 600","286 874 432","9 756","0","127","117"
"10:16:35.503, 16 maj 2023","9,6","0,0","367 001 600","318 331 712","9 756","0","127","117"
"10:16:36.505, 16 maj 2023","10,3","0,0","367 001 600","301 564 312","9 756","0","127","117"
"10:16:37.505, 16 maj 2023","10,1","0,0","367 001 600","284 881 200","9 756","0","127","117"
"10:16:38.506, 16 maj 2023","9,7","0,0","367 001 600","316 338 480","9 756","0","127","117"
"10:16:39.507, 16 maj 2023","9,9","0,0","367 001 600","299 520 584","9 756","0","127","117"
"10:16:40.507, 16 maj 2023","9,8","0,0","367 001 600","280 658 720","9 756","0","127","117"
"10:16:41.508, 16 maj 2023","10,1","0,0","367 001 600","314 213 152","9 756","0","45","35"
"10:16:42.510, 16 maj 2023","10,1","0,0","367 001 600","297 442 736","9 756","0","37","27"
"10:16:43.512, 16 maj 2023","9,8","0,0","367 001 600","278 608 496","9 756","0","37","27"
"10:16:44.513, 16 maj 2023","9,7","0,0","367 001 600","310 065 776","9 756","0","37","27"
"10:16:45.513, 16 maj 2023","9,8","0,0","367 001 600","293 294 288","9 756","0","37","27"
"10:16:46.514, 16 maj 2023","10,3","0,0","367 001 600","286 670 648","9 756","0","72","62"
"10:16:47.515, 16 maj 2023","10,2","0,0","367 001 600","280 592 880","9 756","0","72","62"
"10:16:48.515, 16 maj 2023","9,8","0,0","367 001 600","312 050 160","9 756","0","72","62"
"10:16:49.517, 16 maj 2023","9,8","0,0","367 001 600","305 645 136","9 756","0","72","62"
"10:16:50.518, 16 maj 2023","9,9","0,0","367 001 600","297 241 032","9 756","0","72","62"
"10:16:51.520, 16 maj 2023","10,0","0,0","367 001 600","288 823 696","9 756","0","72","62"
"10:16:52.522, 16 maj 2023","10,2","0,0","367 001 600","278 374 224","9 756","0","72","62"
"10:16:53.522, 16 maj 2023","9,8","0,0","367 001 600","311 928 656","9 756","0","72","62"
"10:16:54.523, 16 maj 2023","9,8","0,0","367 001 600","301 419 296","9 756","0","72","62"
"10:16:55.524, 16 maj 2023","9,8","0,0","367 001 600","290 996 936","9 756","0","72","62"
"10:16:56.525, 16 maj 2023","10,1","0,0","367 001 600","278 370 752","9 756","0","72","62"
"10:16:57.526, 16 maj 2023","9,8","0,0","367 001 600","311 925 184","9 756","0","72","62"
"10:16:58.527, 16 maj 2023","9,9","0,0","367 001 600","299 407 448","9 756","0","72","62"
"10:16:59.527, 16 maj 2023","9,8","0,0","367 001 600","288 888 064","9 756","0","72","62"
"10:17:00.528, 16 maj 2023","10,0","0,0","367 001 600","276 355 856","9 756","0","72","62"
"10:17:01.528, 16 maj 2023","10,2","0,0","367 001 600","307 813 136","9 756","0","72","62"
"10:17:02.529, 16 maj 2023","10,1","0,0","367 001 600","297 295 520","9 756","0","72","62"
"10:17:03.530, 16 maj 2023","9,8","0,0","367 001 600","284 776 536","9 756","0","72","62"
"10:17:04.530, 16 maj 2023","9,8","0,0","367 001 600","318 330 968","9 756","0","72","62"
"10:17:05.531, 16 maj 2023","9,7","0,0","367 001 600","305 758 448","9 756","0","72","62"
"10:17:06.532, 16 maj 2023","10,3","0,0","367 001 600","295 286 512","9 756","0","72","62"
"10:17:07.533, 16 maj 2023","10,0","0,0","367 001 600","282 719 584","9 756","0","72","62"
"10:17:08.533, 16 maj 2023","9,7","0,0","367 001 600","314 176 864","9 756","0","72","62"
"10:17:09.534, 16 maj 2023","9,8","0,0","367 001 600","303 709 208","9 756","0","72","62"
"10:17:10.535, 16 maj 2023","9,9","0,0","367 001 600","291 149 088","9 756","0","72","62"
"10:17:11.535, 16 maj 2023","10,1","0,0","367 001 600","280 665 992","9 756","0","72","62"
"10:17:12.536, 16 maj 2023","9,8","0,0","367 001 600","312 123 272","9 756","0","72","62"
"10:17:13.536, 16 maj 2023","9,8","0,0","367 001 600","301 665 536","9 756","0","72","62"
"10:17:14.538, 16 maj 2023","9,7","0,0","367 001 600","289 030 448","9 756","0","72","62"
"10:17:15.538, 16 maj 2023","9,8","0,0","367 001 600","278 602 256","9 756","0","72","62"
"10:17:16.539, 16 maj 2023","9,9","0,0","367 001 600","310 059 536","9 756","0","37","27"
"10:17:17.540, 16 maj 2023","10,2","0,0","367 001 600","299 595 840","9 756","0","37","27"
"10:17:18.541, 16 maj 2023","9,7","0,0","367 001 600","286 981 072","9 756","0","37","27"
"10:17:19.543, 16 maj 2023","10,1","0,0","367 001 600","288 629 592","9 756","0","71","61"
"10:17:20.544, 16 maj 2023","9,9","0,0","367 001 600","288 809 136","9 756","0","71","61"
"10:17:21.545, 16 maj 2023","10,2","0,0","367 001 600","286 570 416","9 756","0","71","61"
"10:17:22.546, 16 maj 2023","10,2","0,0","367 001 600","286 612 432","9 756","0","71","61"
"10:17:23.547, 16 maj 2023","9,8","0,0","367 001 600","282 420 768","9 756","0","71","61"
"10:17:24.547, 16 maj 2023","9,8","0,0","367 001 600","315 975 200","9 756","0","71","61"
"10:17:25.547, 16 maj 2023","9,8","0,0","367 001 600","311 787 120","9 756","0","71","61"
"10:17:26.548, 16 maj 2023","10,3","0,0","367 001 600","309 699 184","9 756","0","71","61"
"10:17:27.548, 16 maj 2023","10,0","0,0","367 001 600","303 399 280","9 756","0","71","61"
"10:17:28.549, 16 maj 2023","9,8","0,0","367 001 600","299 246 528","9 756","0","71","61"
"10:17:29.550, 16 maj 2023","9,9","0,0","367 001 600","292 948 776","9 756","0","71","61"
"10:17:30.551, 16 maj 2023","10,0","0,0","367 001 600","288 775 328","9 756","0","71","61"
"10:17:31.552, 16 maj 2023","10,2","0,0","367 001 600","282 460 064","9 756","0","71","61"
"10:17:32.552, 16 maj 2023","10,2","0,0","367 001 600","316 014 496","9 756","0","71","61"
"10:17:33.554, 16 maj 2023","9,7","0,0","367 001 600","309 758 752","9 756","0","71","61"
"10:17:34.555, 16 maj 2023","9,9","0,0","367 001 600","305 553 680","9 756","0","71","61"
"10:17:35.556, 16 maj 2023","9,8","0,0","367 001 600","299 320 000","9 756","0","71","61"
"10:17:36.556, 16 maj 2023","10,2","0,0","367 001 600","295 099 104","9 756","0","71","61"
"10:17:37.558, 16 maj 2023","10,2","0,0","367 001 600","288 843 496","9 756","0","71","61"
"10:17:38.560, 16 maj 2023","9,9","0,0","367 001 600","284 651 960","9 756","0","71","61"
"10:17:39.560, 16 maj 2023","9,6","0,0","367 001 600","316 109 240","9 756","0","71","61"
"10:17:40.561, 16 maj 2023","9,9","0,0","367 001 600","311 950 392","9 756","0","71","61"
"10:17:41.563, 16 maj 2023","10,1","0,0","367 001 600","305 644 144","9 756","0","71","61"
"10:17:42.564, 16 maj 2023","10,3","0,0","367 001 600","301 481 904","9 756","0","71","61"
"10:17:43.565, 16 maj 2023","9,8","0,0","367 001 600","295 219 952","9 756","0","71","61"
"10:17:44.566, 16 maj 2023","9,7","0,0","367 001 600","291 023 912","9 756","0","71","61"
"10:17:45.566, 16 maj 2023","9,8","0,0","367 001 600","284 764 272","9 756","0","71","61"
"10:17:46.567, 16 maj 2023","10,0","0,0","367 001 600","318 318 704","9 756","0","71","61"
"10:17:47.568, 16 maj 2023","10,3","0,0","367 001 600","312 029 800","9 756","0","71","61"
"10:17:48.570, 16 maj 2023","9,8","0,0","367 001 600","307 828 336","9 756","0","71","61"
"10:17:49.571, 16 maj 2023","9,8","0,0","367 001 600","303 689 784","9 756","0","41","31"
"10:17:50.571, 16 maj 2023","9,8","0,0","367 001 600","297 362 192","9 756","0","41","31"
"10:17:51.573, 16 maj 2023","10,4","0,0","367 001 600","302 677 984","9 756","0","72","62"
